City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
505,Baillif,GP,78.3,clear sky,16.0202,-61.7463,Hôtel Saint-Georges
510,Maracaibo,VE,82.71,clear sky,10.6317,-71.6406,Motel Aladdin
514,Manjacaze,MZ,70.32,scattered clouds,-24.7117,33.8828,Hotel Gani
515,Grand Baie,MU,79.27,overcast clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
516,Hambantota,LK,75.54,clear sky,6.1241,81.1185,Bungalow 63
521,Makakilo City,US,78.69,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
526,Manokwari,ID,77.58,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
529,Champerico,GT,91.94,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
532,Miraflores,MX,72.03,clear sky,19.2167,-98.8083,Hotel Mansión
534,Imbituba,BR,76.89,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
538,Dunedin,NZ,66.79,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
539,Moanda,GA,74.86,overcast clouds,-1.5575,13.2178,Heliconia Stadium Moanda
543,San Rafael,AR,87.24,clear sky,-34.6177,-68.3301,Hotel San Rafael
544,Cosamaloapan,MX,74.14,scattered clouds,18.3667,-95.8,Hotel Catedral
547,Gombong,ID,76.1,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
549,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
555,Mendoza,AR,92.73,few clouds,-32.8908,-68.8272,Hotel Mendoza
556,Varzelandia,BR,72.09,light rain,-15.7014,-44.0275,Pousada Portal da Cidade
558,Yerbabuena,MX,76.05,clear sky,20.9667,-101.2667,Holiday Inn Express Guanajuato
559,Hospet,IN,70.25,clear sky,15.2667,76.4,Hotel Malligi Hampi
560,Pringsewu,ID,73.2,heavy intensity rain,-5.3582,104.9744,Urban Style by Front One
562,Kindu,CD,72.54,overcast clouds,-2.95,25.95,Résidence Okanda
564,Lazaro Cardenas,MX,83.46,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
567,Bequimao,BR,86.32,broken clouds,-2.4489,-44.7825,Casa Dom Joaquim
569,Tawau,MY,73.53,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
572,Tandil,AR,71.91,overcast clouds,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
576,Eyl,SO,74.07,overcast clouds,7.9803,49.8164,Amiin Hotel
577,Ratnagiri,IN,70.41,clear sky,16.9833,73.3,Hotel Landmark
578,Mogadishu,SO,77.13,overcast clouds,2.0371,45.3438,Hotel Juba
580,Kapit,MY,72.36,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
581,Celestun,MX,71.47,clear sky,20.8667,-90.4,Posada Lilia
582,Banjar,ID,76.91,overcast clouds,-8.19,114.9675,The Hamsa Resort
583,Matamoros,MX,76.1,scattered clouds,25.5333,-103.25,Quinta Belem
