City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cherskiy,RU,2022-01-22 21:22:48,68.75,161.3,-49.47,100,100,6.4
68,Nouadhibou,MR,2022-01-22 21:22:49,20.931,-17.0347,69.78,60,23,8.05
69,Lukuledi,TZ,2022-01-22 21:22:49,-10.5667,38.8,69.94,96,100,3.44
70,Pitimbu,BR,2022-01-22 21:22:49,-7.4706,-34.8086,81.19,68,13,9.62
71,Hilo,US,2022-01-22 21:19:47,19.7297,-155.09,79.11,64,0,8.05
72,Clyde River,CA,2022-01-22 21:22:50,70.4692,-68.5914,-14.57,76,75,12.66
73,Mwene-Ditu,CD,2022-01-22 21:22:50,-7.0,23.45,63.91,96,86,2.64
74,Kaspiyskiy,RU,2022-01-22 21:22:51,45.3929,47.3707,36.84,89,100,17.76
75,Bure,ET,2022-01-22 21:22:51,10.7,37.0667,59.16,58,94,4.54
76,Abu Dhabi,AE,2022-01-22 21:22:13,24.4667,54.3667,64.96,62,40,1.99
77,Burnie,AU,2022-01-22 21:22:51,-41.0667,145.9167,63.95,80,100,10.0
78,Butaritari,KI,2022-01-22 21:22:52,3.0707,172.7902,82.38,73,98,12.53
79,Pevek,RU,2022-01-22 21:22:52,69.7008,170.3133,-32.21,93,100,5.82
80,Kapaa,US,2022-01-22 21:22:52,22.0752,-159.319,76.98,84,100,1.01
81,Wenling,CN,2022-01-22 21:22:53,28.3669,121.36,51.91,96,97,4.94
82,Campos,BR,2022-01-22 21:22:53,-21.75,-41.3,80.65,69,0,16.11
83,Onega,RU,2022-01-22 21:22:54,63.9061,38.1404,0.66,99,79,5.03
84,Kodiak,US,2022-01-22 21:22:54,57.79,-152.4072,38.71,93,100,0.0
85,Saint Anthony,US,2022-01-22 21:22:54,45.0205,-93.218,12.65,60,100,1.99
86,Polyarnyy,RU,2022-01-22 21:22:55,69.1989,33.4478,19.87,73,100,28.72
87,Westport,US,2022-01-22 21:22:55,41.1415,-73.3579,30.97,62,0,1.99
88,Punta Arenas,CL,2022-01-22 21:22:47,-53.15,-70.9167,53.71,62,75,10.36
89,Tasiilaq,GL,2022-01-22 21:22:55,65.6145,-37.6368,8.76,48,5,12.93
90,Bubaque,GW,2022-01-22 21:22:56,11.2833,-15.8333,80.02,74,38,11.86
91,Dikson,RU,2022-01-22 21:22:56,73.5069,80.5464,-2.63,100,92,8.12
92,Marawi,PH,2022-01-22 21:22:56,7.9986,124.2928,64.65,96,98,0.74
93,Muros,ES,2022-01-22 21:22:57,42.7762,-9.0603,49.23,83,1,5.61
94,Sorong,ID,2022-01-22 21:23:57,-0.8833,131.25,78.64,83,100,1.99
95,Esperance,AU,2022-01-22 21:23:58,-33.8667,121.9,62.44,90,80,5.17
96,Tessalit,ML,2022-01-22 21:23:58,20.1986,1.0114,63.59,18,71,10.22
97,Nhulunbuy,AU,2022-01-22 21:23:58,-12.2333,136.7667,79.41,94,100,0.0
98,Ponta Do Sol,PT,2022-01-22 21:23:59,32.6667,-17.1,64.71,77,63,4.65
99,Saint-Philippe,RE,2022-01-22 21:23:59,-21.3585,55.7679,80.19,85,79,15.05
100,Tikapur,NP,2022-01-22 21:23:59,28.5,81.1333,54.03,73,100,1.92
101,Ostrovnoy,RU,2022-01-22 21:24:00,68.0531,39.5131,14.04,90,14,17.09
102,Guasdualito,VE,2022-01-22 21:24:00,7.2424,-70.7324,93.2,40,20,6.91
103,Dandong,CN,2022-01-22 21:24:00,40.1292,124.3947,17.15,90,37,6.4
104,Nanortalik,GL,2022-01-22 21:24:01,60.1432,-45.2371,8.15,78,2,12.21
105,Oum Hadjer,TD,2022-01-22 21:24:01,13.2954,19.6966,72.01,16,2,9.78
106,Victoria,HK,2022-01-22 21:22:44,22.2855,114.1577,65.03,85,100,4.0
107,Juneau,US,2022-01-22 21:24:01,58.3019,-134.4197,41.22,96,100,5.99
108,Oktyabrskiy,RU,2022-01-22 21:24:02,54.4815,53.471,11.68,88,100,4.83
109,Nantucket,US,2022-01-22 21:24:02,41.2835,-70.0995,32.11,83,100,16.11
110,Usolye-Sibirskoye,RU,2022-01-22 21:24:03,52.7519,103.6453,10.51,96,100,3.13
111,Hasaki,JP,2022-01-22 21:24:03,35.7333,140.8333,32.29,63,100,5.41
112,Gao,ML,2022-01-22 21:24:04,16.6362,1.637,66.67,15,99,11.9
113,Honiara,SB,2022-01-22 21:24:04,-9.4333,159.95,82.45,80,26,2.86
114,Iskateley,RU,2022-01-22 21:24:04,67.6803,53.1512,13.8,96,100,6.53
115,Olga,RU,2022-01-22 21:24:05,43.7444,135.2892,10.13,63,5,5.23
116,Pamanukan,ID,2022-01-22 21:24:05,-6.2842,107.8106,75.13,91,100,3.87
117,Rijeka,HR,2022-01-22 21:24:05,45.3431,14.4092,40.77,72,0,1.99
118,Udachnyy,RU,2022-01-22 21:24:06,66.4167,112.4,-12.42,99,29,4.72
119,Seoul,KR,2022-01-22 21:21:32,37.5683,126.9778,31.44,51,0,3.44
120,Samana,DO,2022-01-22 21:24:06,19.2056,-69.3369,84.16,74,20,9.22
121,Rawson,AR,2022-01-22 21:24:07,-43.3002,-65.1023,80.58,27,94,36.22
122,Vanimo,PG,2022-01-22 21:24:07,-2.6741,141.3028,76.73,91,100,3.74
123,Gamba,GA,2022-01-22 21:24:07,-2.65,10.0,76.48,90,73,5.91
124,Sungairaya,ID,2022-01-22 21:24:08,0.7,108.9,76.15,92,23,5.08
125,Torbay,CA,2022-01-22 21:24:08,47.6666,-52.7314,17.38,85,75,3.44
126,Hithadhoo,MV,2022-01-22 21:24:08,-0.6,73.0833,82.44,69,34,16.49
127,Camopi,GF,2022-01-22 21:24:09,3.1655,-52.3158,75.78,96,100,2.71
128,Mogadishu,SO,2022-01-22 21:24:09,2.0371,45.3438,78.17,78,100,22.24
129,Puerto Ayora,EC,2022-01-22 21:24:09,-0.7393,-90.3518,75.72,76,93,8.66
130,Male,MV,2022-01-22 21:24:10,4.1748,73.5089,82.35,74,75,6.91
131,East London,ZA,2022-01-22 21:24:10,-33.0153,27.9116,74.21,70,0,19.6
132,Placido De Castro,BR,2022-01-22 21:24:11,-10.3353,-67.1856,75.02,97,94,3.36
133,Puerto Princesa,PH,2022-01-22 21:24:11,9.7392,118.7353,76.33,83,72,0.63
134,Sherbrooke,CA,2022-01-22 21:22:28,45.4001,-71.8991,16.12,42,20,0.0
135,Worthing,GB,2022-01-22 21:23:21,50.8145,-0.3713,41.99,82,6,1.01
136,Sao Filipe,CV,2022-01-22 21:24:11,14.8961,-24.4956,74.41,74,82,8.59
137,Atuona,PF,2022-01-22 21:25:12,-9.8,-139.0333,78.89,73,82,20.18
138,Kalmunai,LK,2022-01-22 21:25:12,7.4167,81.8167,71.13,75,32,3.09
139,Mahebourg,MU,2022-01-22 21:25:12,-20.4081,57.7,81.25,89,40,10.36
140,Bryan,US,2022-01-22 21:25:13,30.6744,-96.37,55.15,26,0,9.22
141,Ituiutaba,BR,2022-01-22 21:25:13,-18.9689,-49.465,82.58,67,62,3.6
142,Khandyga,RU,2022-01-22 21:25:14,62.6667,135.6,-35.0,100,100,1.03
143,Eureka,US,2022-01-22 21:25:14,40.8021,-124.1637,75.81,40,0,3.0
144,Borogontsy,RU,2022-01-22 21:25:14,62.6683,131.1683,-18.69,99,99,1.28
145,Nizhnyaya Poyma,RU,2022-01-22 21:25:15,56.1622,97.1933,7.36,97,100,2.35
146,Churapcha,RU,2022-01-22 21:25:15,62.0025,132.4325,-17.3,99,100,0.4
147,Khatanga,RU,2022-01-22 21:25:15,71.9667,102.5,13.59,94,100,13.78
148,Tuktoyaktuk,CA,2022-01-22 21:25:16,69.4541,-133.0374,-9.4,77,100,18.41
149,Aleysk,RU,2022-01-22 21:25:16,52.4926,82.7822,-10.98,100,51,1.95
150,Hamilton,US,2022-01-22 21:23:21,39.1834,-84.5333,33.21,49,100,5.01
151,Upernavik,GL,2022-01-22 21:25:16,72.7868,-56.1549,-9.74,68,94,7.11
152,Geraldton,AU,2022-01-22 21:25:17,-28.7667,114.6,66.61,52,0,5.75
153,Sabang,ID,2022-01-22 21:25:17,5.8933,95.3214,80.71,73,37,7.02
