City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
526,Manokwari,ID,-0.8667,134.0833,77.58,75,100,8.79,overcast clouds
527,Verkhnevilyuysk,RU,63.4453,120.3167,-24.16,99,39,3.91,scattered clouds
528,Minab,IR,27.1467,57.0801,58.5,77,0,2.13,clear sky
529,Champerico,GT,14.3,-91.9167,91.94,66,4,11.07,clear sky
530,Kasempa,ZM,-13.4584,25.8338,64.81,97,100,4.21,overcast clouds
531,Khandyga,RU,62.6667,135.6,-39.64,100,77,1.28,broken clouds
532,Miraflores,MX,19.2167,-98.8083,72.03,29,1,3.33,clear sky
533,Nador,MA,35.174,-2.9287,52.05,82,0,3.44,clear sky
534,Imbituba,BR,-28.24,-48.6703,76.89,70,37,4.72,scattered clouds
535,Anadyr,RU,64.75,177.4833,-17.9,75,20,5.99,fog
536,Talaya,RU,61.3833,152.75,-14.71,97,100,5.53,overcast clouds
537,Medea,DZ,36.2642,2.7539,30.65,31,0,4.47,clear sky
538,Dunedin,NZ,-45.8742,170.5036,66.79,71,0,14.0,clear sky
539,Moanda,GA,-1.5575,13.2178,74.86,74,99,3.27,overcast clouds
540,Sokol,RU,59.4617,40.1206,13.21,95,100,8.63,overcast clouds
541,Garmsar,IR,35.2182,52.3409,41.38,35,0,7.56,clear sky
542,Bela Palanka,RS,43.2183,22.3111,33.85,94,93,6.31,light snow
543,San Rafael,AR,-34.6177,-68.3301,87.24,23,0,6.04,clear sky
544,Cosamaloapan,MX,18.3667,-95.8,74.14,63,49,4.72,scattered clouds
545,Vikhorevka,RU,56.1201,101.1636,-5.76,99,100,0.98,overcast clouds
546,Salobrena,ES,36.7428,-3.5872,58.01,53,2,3.69,clear sky
547,Gombong,ID,-7.6072,109.5142,76.1,92,100,2.15,overcast clouds
548,Sarab,IR,38.6066,44.9883,16.84,77,28,5.3,scattered clouds
549,Oistins,BB,13.0667,-59.5333,78.89,69,40,24.16,scattered clouds
550,Vyartsilya,RU,62.1764,30.693,19.53,94,100,7.83,light snow
551,Abalak,RU,58.1286,68.5944,0.45,97,100,4.32,overcast clouds
552,Wasilla,US,61.5814,-149.4394,25.39,77,75,4.61,broken clouds
553,Okhotsk,RU,59.3833,143.3,13.64,73,100,17.78,overcast clouds
554,Kidal,ML,18.4411,1.4078,70.2,14,69,11.92,broken clouds
555,Mendoza,AR,-32.8908,-68.8272,92.73,33,20,3.44,few clouds
556,Varzelandia,BR,-15.7014,-44.0275,72.09,79,99,3.29,light rain
557,Karoi,ZW,-16.8099,29.6925,63.18,95,99,4.52,overcast clouds
558,Yerbabuena,MX,20.9667,-101.2667,76.05,18,0,9.64,clear sky
559,Hospet,IN,15.2667,76.4,70.25,57,5,5.59,clear sky
560,Pringsewu,ID,-5.3582,104.9744,73.2,95,100,1.1,heavy intensity rain
561,Trelew,AR,-43.249,-65.3051,61.88,32,78,15.1,broken clouds
562,Kindu,CD,-2.95,25.95,72.54,83,100,3.02,overcast clouds
